账号,密码,平台类型,服务器,节点,备注,排序
66938830,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938831,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938832,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938833,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938835,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938836,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938837,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938838,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938839,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
66938840,Test123456!,MT5,CWGMarketsSVG-Demo,47.91.76.126:443,参数化新增MT5云策略账号,100
