账号,密码,账号类型,服务器,节点,备注,排序
2009257138,a7jffmv,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257139,udd8yvz,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257140,qmn0dax,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257141,kbe2oxq,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257142,hk3kbbo,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257144,3vjuioz,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257145,4ftlntx,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257146,eq3vufj,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257147,3tqmbsm,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
2009257148,4dadoxk,MT4,ICMCapitalVC-Demo,4.161.46.200:1950,参数化新增云策略账号,100
